Id,Name,FullyQualifiedName,Sku,Type,Description,Active,Taxable,IncomeAccountRef_value,IncomeAccountRef_name,IncomeAccountNum,ExpenseAccountRef_value,ExpenseAccountRef_name,ExpenseAccountNum,PrimaryEntity,TrackQtyOnHand,domain,sparse,SyncToken,MetaData_CreateTime
4011,Cold Storage - Pallet Positions,Cold Storage - Pallet Positions,WHS-COLD,Service,Cold Storage - Pallet Positions,True,True,1036,Revenue - Warehousing & Storage,4030,1050,COGS - Equipment Lease & Rental,5060,APX,False,QBO,False,0,2024-06-25T09:00:00-07:00
4012,Yard Management Service,Yard Management Service,SVC-YARD,Service,Yard Management Service,True,True,1036,Revenue - Warehousing & Storage,4030,1048,COGS - Warehouse Labor,5040,APX,False,QBO,False,0,2024-06-25T09:00:00-07:00
4013,Fulfillment - Pick & Pack,Fulfillment - Pick & Pack,FUL-PICK,Service,Fulfillment - Pick & Pack,True,True,1037,Revenue - Fulfillment & Pick-Pack,4040,1048,COGS - Warehouse Labor,5040,APX,False,QBO,False,0,2024-06-25T09:00:00-07:00
4014,Fulfillment - Returns Processing,Fulfillment - Returns Processing,FUL-RET,Service,Fulfillment - Returns Processing,True,True,1037,Revenue - Fulfillment & Pick-Pack,4040,1048,COGS - Warehouse Labor,5040,APX,False,QBO,False,0,2024-06-25T09:00:00-07:00
4015,Customs Entry & Clearance,Customs Entry & Clearance,CUS-ENTRY,Service,Customs Entry & Clearance,True,False,1038,Revenue - Customs & Compliance,4050,1054,COGS - Customs Duties & Brokerage,5110,NWC,False,QBO,False,0,2024-06-25T09:00:00-07:00
4016,Trade Compliance Program,Trade Compliance Program,CUS-COMP,Service,Trade Compliance Program,True,False,1038,Revenue - Customs & Compliance,4050,1054,COGS - Customs Duties & Brokerage,5110,NWC,False,QBO,False,0,2024-06-25T09:00:00-07:00
4017,Last Mile Delivery Program,Last Mile Delivery Program,LM-DEL-ST,Service,Last Mile Delivery Program,True,True,1039,Revenue - Last Mile Delivery,4060,1045,COGS - Owner Operator Settlements,5010,MLG,False,QBO,False,0,2024-06-25T09:00:00-07:00
4018,Fuel Surcharge,Fuel Surcharge,FSC-PCT,Service,Fuel Surcharge,True,True,1040,Revenue - Fuel Surcharge,4070,1046,COGS - Fuel,5020,ALL,False,QBO,False,0,2024-06-25T09:00:00-07:00
4019,Accessorial - Detention & Layover,Accessorial - Detention & Layover,ACC-DET,Service,Accessorial - Detention & Layover,True,True,1041,Revenue - Accessorial & Detention,4080,1047,COGS - Driver Wages,5030,ALL,False,QBO,False,0,2024-06-25T09:00:00-07:00
4020,TMS Platform Subscription,TMS Platform Subscription,SW-TMS-SEAT,Service,TMS Platform Subscription,True,False,1042,Revenue - Software & Data Services,4090,1064,IT Infrastructure & Cloud Hosting,6210,NWC,False,QBO,False,0,2024-06-25T09:00:00-07:00
4021,Freight Bill Audit & Pay,Freight Bill Audit & Pay,SVC-AUDIT,Service,Freight Bill Audit & Pay,True,True,1042,Revenue - Software & Data Services,4090,1049,COGS - Temp & Contract Labor,5050,MLG,False,QBO,False,0,2024-06-25T09:00:00-07:00
