Id,DisplayName,CompanyName,GivenName,FamilyName,PrimaryEmailAddr_Address,PrimaryPhone_FreeFormNumber,BillAddr_Line1,BillAddr_City,BillAddr_Country,DefaultExpenseAccountNum,DefaultExpenseAccountName,Terms,CurrencyRef_value,CurrencyRef_name,Vendor1099,Balance,Active,domain,sparse,SyncToken,MetaData_CreateTime
3022,Ramp Financial Software,Ramp Financial Software,Yuki,Mensah,ap@rampfinancialsoftware.com,+1-956-664-7548,"9875 Fleet Rd, Unit 130",Dallas,USA,6200,Software Subscriptions - SaaS,Net 45,USD,US Dollar,False,0,True,QBO,False,0,2024-06-22T09:00:00-07:00
3023,Cloudspan Technologies,Cloudspan Technologies,Priya,Ashworth,ap@cloudspantechnologies.com,+1-385-815-4844,"2758 Fleet Rd, Unit 120",Newark,USA,6210,IT Infrastructure & Cloud Hosting,Net 30,USD,US Dollar,False,0,True,QBO,False,0,2024-06-22T09:00:00-07:00
3024,"Cloudspan Technologies, Inc.","Cloudspan Technologies, Inc.",Lena,Petrov,ap@cloudspantechnologiesinc.com,+1-792-688-5081,"7172 Havenstraat, Unit 214",Dallas,USA,6210,IT Infrastructure & Cloud Hosting,Net 45,USD,US Dollar,False,0,True,QBO,False,0,2024-06-22T09:00:00-07:00
3025,Datastream Analytics Inc,Datastream Analytics Inc,Bianca,Tanaka,ap@datastreamanalyticsinc.com,+1-661-388-1792,"1809 Depot St, Unit 198",Columbus,USA,6220,Data & Market Intelligence,Net 30,USD,US Dollar,False,0,True,QBO,False,0,2024-06-22T09:00:00-07:00
3026,Harrington & Blake LLP,Harrington & Blake LLP,Maya,Marchetti,ap@harringtonandblakellp.com,+1-438-553-3348,"3027 Fleet Rd, Unit 9",Chicago,USA,6300,Professional Fees - Legal,Net 30,USD,US Dollar,False,0,True,QBO,False,0,2024-06-22T09:00:00-07:00
3027,Grantham Audit Group,Grantham Audit Group,Sofia,Mendez,ap@granthamauditgroup.com,+1-862-379-6697,"6463 Birch Pl, Unit 166",Columbus,USA,6310,Professional Fees - Audit & Tax,Net 30,USD,US Dollar,False,0,True,QBO,False,0,2024-06-22T09:00:00-07:00
3028,Bridgepoint Consulting,Bridgepoint Consulting,Lena,Mendez,ap@bridgepointconsulting.com,+1-781-577-8071,"2440 Fleet Rd, Unit 180",Newark,USA,6320,Professional Fees - Consulting,Net 45,USD,US Dollar,True,0,True,QBO,False,0,2024-06-22T09:00:00-07:00
3029,Nimbus Dev Contractors,Nimbus Dev Contractors,Hassan,Whitfield,ap@nimbusdevcontractors.com,+1-789-850-3874,"6569 Fleet Rd, Unit 105",Denver,USA,6320,Professional Fees - Consulting,Net 45,USD,US Dollar,True,0,True,QBO,False,0,2024-06-22T09:00:00-07:00
3030,Lighthouse Marketing Group,Lighthouse Marketing Group,Claire,Bergstrom,ap@lighthousemarketinggroup.com,+1-671-839-1962,"5554 Birch Pl, Unit 292",Seattle,USA,6400,Marketing & Advertising,Net 30,USD,US Dollar,False,0,True,QBO,False,0,2024-06-22T09:00:00-07:00
3031,Corporate Travel Alliance,Corporate Travel Alliance,Marcus,Iyer,ap@corporatetravelalliance.com,+1-430-979-5561,"9534 Havenstraat, Unit 133",Louisville,USA,6420,Travel,Net 30,USD,US Dollar,False,0,True,QBO,False,0,2024-06-22T09:00:00-07:00
3032,Ironclad Insurance Brokers,Ironclad Insurance Brokers,Fatima,Petrov,ap@ironcladinsurancebrokers.com,+1-904-400-6427,"7289 Depot St, Unit 241",Newark,USA,6500,Insurance - Liability & Cargo,Net 45,USD,US Dollar,False,0,True,QBO,False,0,2024-06-22T09:00:00-07:00
3033,WorkSafe Comp Underwriters,WorkSafe Comp Underwriters,Elliot,Whitfield,ap@worksafecompunderwriters.com,+1-562-277-5357,"4467 Depot St, Unit 218",Phoenix,USA,6510,Insurance - Workers Comp,Net 15,USD,US Dollar,False,0,True,QBO,False,0,2024-06-22T09:00:00-07:00
3034,Northstar Payroll Services,Northstar Payroll Services,Ingrid,Vasquez,ap@northstarpayrollservices.com,+1-519-489-5837,"7076 Birch Pl, Unit 121",Memphis,USA,6000,"Salaries, Wages & Benefits",Net 15,USD,US Dollar,False,0,True,QBO,False,0,2024-06-22T09:00:00-07:00
3035,Federated Equipment Finance,Federated Equipment Finance,Sofia,Vandermeer,ap@federatedequipmentfinance.com,+1-747-462-2544,"5093 Havenstraat, Unit 3",Columbus,USA,7000,Interest Expense,Net 45,USD,US Dollar,False,0,True,QBO,False,0,2024-06-22T09:00:00-07:00
